id,stop_id,route_number,scheduled_time,actual_time,delay_minutes,status
1,450023905,34,2026-02-15 03:58:07,2026-02-15 04:00:07,2,on-time
2,450011151,X84,2026-02-14 23:54:53,2026-02-14 23:53:53,-1,on-time
3,450011706,50A,2026-02-21 09:39:52,,,cancelled
4,450050029,52,2026-02-21 14:05:56,2026-02-21 14:07:56,2,on-time
5,450014825,8,2026-02-19 10:28:11,2026-02-19 10:30:11,2,on-time
6,450013644,52,2026-02-20 15:43:34,2026-02-20 15:42:34,-1,on-time
7,450012559,X6,2026-02-19 00:23:22,2026-02-19 00:36:22,13,late
8,450011538,X84,2026-02-20 08:47:16,2026-02-20 08:49:16,2,on-time
9,450050357,34,2026-02-15 00:50:23,2026-02-15 00:51:23,1,on-time
10,450024976,12,2026-02-20 14:01:10,2026-02-20 14:02:10,1,on-time
11,450014522,A1,2026-02-18 22:12:07,2026-02-18 22:13:07,1,on-time
12,450010792,7,2026-02-20 11:17:46,,,cancelled
13,450013615,X84,2026-02-18 14:01:36,2026-02-18 14:15:36,14,late
14,450013176,13A,2026-02-19 08:06:14,2026-02-19 08:05:14,-1,on-time
15,450010144,72,2026-02-21 05:53:51,2026-02-21 05:54:51,1,on-time
16,450010303,50,2026-02-18 22:58:57,2026-02-18 22:57:57,-1,on-time
17,450013711,X6,2026-02-16 09:15:43,2026-02-16 09:17:43,2,on-time
18,450014864,33,2026-02-15 18:43:08,2026-02-15 18:53:08,10,late
19,450011643,6,2026-02-19 20:38:52,2026-02-19 20:39:52,1,on-time
20,450010761,8,2026-02-14 23:56:22,2026-02-14 23:55:22,-1,on-time
21,450012944,6,2026-02-17 16:04:59,2026-02-17 16:10:59,6,late
22,450010779,16,2026-02-16 19:28:01,2026-02-16 19:38:01,10,late
23,450011982,28,2026-02-19 06:34:01,2026-02-19 06:46:01,12,late
24,450013945,72,2026-02-18 04:26:51,,,cancelled
25,450013232,72,2026-02-16 00:52:26,2026-02-16 00:52:26,0,on-time
26,450014825,72,2026-02-20 11:41:06,2026-02-20 11:42:06,1,on-time
27,450011871,50,2026-02-15 01:49:23,2026-02-15 01:51:23,2,on-time
28,450010683,50,2026-02-16 10:05:39,2026-02-16 10:11:39,6,late
29,450011701,1,2026-02-21 03:07:11,2026-02-21 03:06:11,-1,on-time
30,450011910,A1,2026-02-20 19:49:11,2026-02-20 19:50:11,1,on-time
31,450029058,34,2026-02-21 07:43:35,2026-02-21 07:43:35,0,on-time
32,450023397,X84,2026-02-20 20:37:52,2026-02-20 20:48:52,11,late
33,450010963,34,2026-02-18 05:07:01,2026-02-18 05:09:01,2,on-time
34,450013781,51,2026-02-18 11:08:18,2026-02-18 11:07:18,-1,on-time
35,450013266,8,2026-02-18 16:46:45,2026-02-18 16:52:45,6,late
36,450014373,6,2026-02-15 16:29:06,2026-02-15 16:38:06,9,late
37,450029753,6,2026-02-20 17:07:54,2026-02-20 17:21:54,14,late
38,450010431,34,2026-02-20 13:16:44,2026-02-20 13:15:44,-1,on-time
39,450010229,52,2026-02-19 17:04:26,2026-02-19 17:07:26,3,late
40,450011104,A1,2026-02-21 00:17:49,2026-02-21 00:16:49,-1,on-time
41,450012688,12,2026-02-15 14:24:57,2026-02-15 14:26:57,2,on-time
42,450013116,A1,2026-02-20 09:42:52,2026-02-20 09:43:52,1,on-time
43,450011164,28,2026-02-15 01:20:42,2026-02-15 01:19:42,-1,on-time
44,450013709,12,2026-02-20 08:56:35,2026-02-20 08:56:35,0,on-time
45,450011889,34,2026-02-17 19:13:54,2026-02-17 19:26:54,13,late
46,450027820,1B,2026-02-20 22:34:26,2026-02-20 22:36:26,2,on-time
47,450013715,X6,2026-02-21 05:06:14,2026-02-21 05:13:14,7,late
48,450012759,34,2026-02-17 16:35:38,2026-02-17 16:36:38,1,on-time
49,450013554,34,2026-02-14 20:46:41,2026-02-14 20:46:41,0,on-time
50,450014778,7,2026-02-19 10:52:16,2026-02-19 10:51:16,-1,on-time
51,450011107,7,2026-02-20 00:51:33,2026-02-20 00:50:33,-1,on-time
52,450011725,28,2026-02-17 13:07:32,2026-02-17 13:07:32,0,on-time
53,450010728,28,2026-02-17 08:50:44,2026-02-17 08:52:44,2,on-time
54,450029581,72,2026-02-16 17:24:43,2026-02-16 17:30:43,6,late
55,450013569,16,2026-02-16 15:27:48,2026-02-16 15:29:48,2,on-time
56,450011231,27,2026-02-15 23:23:43,2026-02-15 23:22:43,-1,on-time
57,450023875,8,2026-02-15 10:06:27,2026-02-15 10:08:27,2,on-time
58,450010107,12,2026-02-19 04:19:09,2026-02-19 04:22:09,3,late
59,450010202,34,2026-02-20 20:04:19,2026-02-20 20:05:19,1,on-time
60,450032282,A1,2026-02-15 05:46:29,,,cancelled
61,450023965,1,2026-02-15 17:48:54,2026-02-15 17:47:54,-1,on-time
62,450012742,12,2026-02-14 22:15:40,2026-02-14 22:26:40,11,late
63,450010454,7,2026-02-18 10:18:42,2026-02-18 10:19:42,1,on-time
64,450013166,X84,2026-02-21 10:29:12,2026-02-21 10:29:12,0,on-time
65,450011756,13A,2026-02-16 12:36:16,2026-02-16 12:35:16,-1,on-time
66,450012738,33,2026-02-19 08:30:03,2026-02-19 08:29:03,-1,on-time
67,450013293,33,2026-02-20 04:50:31,2026-02-20 04:50:31,0,on-time
68,450011436,1B,2026-02-18 23:30:02,2026-02-18 23:43:02,13,late
69,4500EGRFRTH1,50A,2026-02-16 01:26:58,2026-02-16 01:27:58,1,on-time
70,450023879,50,2026-02-17 02:20:30,2026-02-17 02:20:30,0,on-time
71,450010925,42,2026-02-21 09:37:15,2026-02-21 09:47:15,10,late
72,450014516,1,2026-02-16 20:31:52,2026-02-16 20:30:52,-1,on-time
73,450050104,52,2026-02-17 02:29:17,2026-02-17 02:36:17,7,late
74,450010026,1B,2026-02-17 09:13:02,2026-02-17 09:12:02,-1,on-time
75,450011141,12,2026-02-17 15:02:12,2026-02-17 15:40:12,38,late
76,450011588,8,2026-02-20 23:57:40,2026-02-21 00:38:40,41,late
77,450011210,50,2026-02-17 11:28:43,2026-02-17 11:28:43,0,on-time
78,450010618,1B,2026-02-17 12:05:15,2026-02-17 12:04:15,-1,on-time
79,450014372,50A,2026-02-21 09:48:19,2026-02-21 09:48:19,0,on-time
80,450030238,50A,2026-02-20 07:42:31,2026-02-20 07:56:31,14,late
81,450012544,13,2026-02-20 11:43:24,2026-02-20 11:42:24,-1,on-time
82,450013649,34,2026-02-20 13:06:47,2026-02-20 13:05:47,-1,on-time
83,450013916,28,2026-02-15 08:49:57,2026-02-15 08:53:57,4,late
84,450018802,1,2026-02-15 20:13:41,2026-02-15 20:14:41,1,on-time
85,450013656,33,2026-02-21 14:25:22,2026-02-21 14:25:22,0,on-time
86,450012360,50A,2026-02-20 16:25:28,2026-02-20 16:26:28,1,on-time
87,450013728,X84,2026-02-16 19:38:55,2026-02-16 19:43:55,5,late
88,450012900,A1,2026-02-15 05:06:36,2026-02-15 05:08:36,2,on-time
89,450011436,51,2026-02-18 23:51:21,2026-02-18 23:53:21,2,on-time
90,450032529,51,2026-02-16 07:27:25,2026-02-16 07:34:25,7,late
91,450011593,42,2026-02-18 16:40:50,2026-02-18 16:41:50,1,on-time
92,450011432,50A,2026-02-16 08:03:25,2026-02-16 08:05:25,2,on-time
93,450010561,27,2026-02-21 15:34:53,2026-02-21 15:35:53,1,on-time
94,450012018,72,2026-02-14 17:00:36,2026-02-14 17:06:36,6,late
95,450050079,27,2026-02-17 22:55:22,2026-02-17 23:02:22,7,late
96,450011370,27,2026-02-15 22:51:28,2026-02-15 22:51:28,0,on-time
97,450050006,28,2026-02-17 00:36:25,2026-02-17 00:35:25,-1,on-time
98,450019762,50,2026-02-21 08:05:21,2026-02-21 08:05:21,0,on-time
99,4500HSFT1,16,2026-02-19 23:31:36,2026-02-19 23:31:36,0,on-time
100,450019739,1,2026-02-19 14:50:38,2026-02-19 14:57:38,7,late
101,450024434,16,2026-02-18 10:11:38,2026-02-18 10:17:38,6,late
102,450029819,52,2026-02-18 02:17:13,2026-02-18 02:19:13,2,on-time
103,450010444,8,2026-02-19 05:03:28,2026-02-19 05:02:28,-1,on-time
104,450012693,1,2026-02-21 03:39:50,2026-02-21 03:40:50,1,on-time
105,4500WDLESFD0,50A,2026-02-18 13:08:34,2026-02-18 13:08:34,0,on-time
106,450011583,A1,2026-02-21 13:48:17,2026-02-21 13:48:17,0,on-time
107,450011594,33,2026-02-21 13:16:22,2026-02-21 13:27:22,11,late
108,450012583,42,2026-02-20 08:12:32,,,cancelled
109,450027313,13A,2026-02-15 06:32:45,2026-02-15 06:34:45,2,on-time
110,450014856,52,2026-02-19 21:48:43,2026-02-19 21:50:43,2,on-time
111,450012560,X6,2026-02-14 19:42:02,2026-02-14 19:41:02,-1,on-time
112,450013710,27,2026-02-17 01:24:21,2026-02-17 01:34:21,10,late
113,450012353,72,2026-02-21 08:44:23,2026-02-21 08:44:23,0,on-time
114,450013261,13,2026-02-17 06:07:06,2026-02-17 06:09:06,2,on-time
115,450010021,50A,2026-02-15 06:23:39,2026-02-15 06:25:39,2,on-time
116,450010970,6,2026-02-20 09:11:17,2026-02-20 09:11:17,0,on-time
117,450012726,42,2026-02-15 05:54:59,2026-02-15 06:09:59,15,late
118,450030221,X84,2026-02-21 09:15:50,2026-02-21 09:15:50,0,on-time
119,450012739,52,2026-02-19 06:37:37,2026-02-19 06:36:37,-1,on-time
120,450019738,52,2026-02-18 15:40:23,2026-02-18 15:39:23,-1,on-time
121,450014820,1,2026-02-19 22:40:38,2026-02-19 22:40:38,0,on-time
122,450011991,13,2026-02-19 23:53:51,2026-02-19 23:53:51,0,on-time
123,450018821,50,2026-02-18 04:20:11,2026-02-18 04:21:11,1,on-time
124,450014832,1B,2026-02-19 21:55:39,2026-02-19 21:54:39,-1,on-time
125,450023384,7,2026-02-14 22:18:17,2026-02-14 22:19:17,1,on-time
126,450010399,1,2026-02-15 02:44:40,2026-02-15 02:58:40,14,late
127,450010375,A1,2026-02-21 13:38:02,2026-02-21 13:38:02,0,on-time
128,450013639,1B,2026-02-16 03:51:44,2026-02-16 03:52:44,1,on-time
129,450011506,34,2026-02-15 02:50:21,2026-02-15 02:49:21,-1,on-time
130,450010551,50A,2026-02-15 18:24:56,2026-02-15 18:24:56,0,on-time
131,450023872,X6,2026-02-18 21:37:47,2026-02-18 21:36:47,-1,on-time
132,450012885,27,2026-02-16 02:41:50,2026-02-16 02:52:50,11,late
133,450011458,7,2026-02-19 03:37:35,2026-02-19 03:36:35,-1,on-time
134,450010257,X84,2026-02-15 16:32:47,2026-02-15 16:36:47,4,late
135,450032326,28,2026-02-20 19:59:32,2026-02-20 20:11:32,12,late
136,450011604,13,2026-02-17 10:44:37,2026-02-17 10:44:37,0,on-time
137,450011723,51,2026-02-16 12:15:40,2026-02-16 12:14:40,-1,on-time
138,450010015,X84,2026-02-18 06:32:37,2026-02-18 06:33:37,1,on-time
139,450012668,27,2026-02-20 20:06:50,2026-02-20 20:07:50,1,on-time
140,450029109,52,2026-02-14 21:53:34,2026-02-14 22:37:34,44,late
141,450014836,52,2026-02-16 17:48:42,2026-02-16 17:47:42,-1,on-time
142,450028135,X6,2026-02-16 08:37:52,2026-02-16 08:48:52,11,late
143,450013121,28,2026-02-16 08:36:31,2026-02-16 08:36:31,0,on-time
144,450011032,13A,2026-02-16 00:03:46,2026-02-16 00:36:46,33,late
145,450010639,8,2026-02-17 07:36:37,2026-02-17 07:37:37,1,on-time
146,450012717,34,2026-02-21 14:02:32,2026-02-21 14:04:32,2,on-time
147,450010571,X6,2026-02-21 04:14:28,2026-02-21 04:12:28,-2,early
148,450012545,33,2026-02-18 14:23:12,2026-02-18 14:52:12,29,late
149,450013630,X6,2026-02-16 19:06:51,2026-02-16 19:06:51,0,on-time
150,450023831,X84,2026-02-21 07:55:28,2026-02-21 07:55:28,0,on-time
151,450012608,13A,2026-02-15 05:26:17,2026-02-15 05:36:17,10,late
152,450012662,6,2026-02-16 03:47:32,2026-02-16 04:20:32,33,late
153,450011937,13A,2026-02-16 00:31:29,2026-02-16 00:31:29,0,on-time
154,450011116,13A,2026-02-15 16:55:20,2026-02-15 16:56:20,1,on-time
155,450012691,6,2026-02-20 06:25:09,2026-02-20 06:27:09,2,on-time
156,450013739,13A,2026-02-17 16:02:40,2026-02-17 16:03:40,1,on-time
157,450010384,72,2026-02-16 12:48:52,2026-02-16 12:50:52,2,on-time
158,450032323,33,2026-02-15 07:32:18,2026-02-15 07:33:18,1,on-time
159,450012906,13,2026-02-19 17:14:57,2026-02-19 17:13:57,-1,on-time
